37.7749, -122.4194
51.5074, -0.1278
40.7128, -74.0060
-33.8688, 151.2093
35.6895, 139.6917
48.8566, 2.3522
55.7558, 37.6176
-22.9068, -43.1729
41.9028, 12.4964
55.6761, 12.5683
51.1657, 10.4515
40.4168, -3.7038
-6.2088, 106.8456
-34.6037, -58.3816
31.2304, 121.4737
28.6139, 77.2090
22.3964, 114.1095
34.0522, -118.2437
31.9686, -99.9018
59.3293, 18.0686
-33.9258, 18.4232
50.8503, 4.3517
52.5200, 13.4050
48.2082, 16.3738
35.6895, 51.3890
28.6139, 77.2090
-6.1745, 106.8227
12.9716, 77.5946
-41.2865, 174.7762
38.9072, -77.0369
35.6895, 139.6917
28.6139, 77.2090
34.0522, -118.2437
37.7749, -122.4194
40.7128, -74.0060
-33.9258, 18.4232
-22.9068, -43.1729
48.8566, 2.3522
55.7558, 37.6176
51.5074, -0.1278
35.6895, 139.6917
48.8566, 2.3522
55.7558, 37.6176
40.7128, -74.0060
-33.4489, -70.6693
31.9686, -99.9018
-41.2865, 174.7762
28.6139, 77.2090
-6.1745, 106.8227
59.3293, 18.0686
51.5074, -0.1278
48.8566, 2.3522
55.7558, 37.6176
35.6895, 139.6917
37.7749, -122.4194
-22.9068, -43.1729
40.7128, -74.0060
51.5074, -0.1278
55.7558, 37.6176
35.6895, 139.6917
37.7749, -122.4194
-22.9068, -43.1729
40.7128, -74.0060
51.5074, -0.1278
55.7558, 37.6176
35.6895, 139.6917
37.7749, -122.4194
-22.9068, -43.1729
40.7128, -74.0060
51.5074, -0.1278
55.7558, 37.6176
35.6895, 139.6917
37.7749, -122.4194
-22.9068, -43.1729
40.7128, -74.0060
51.5074, -0.1278
55.7558, 37.6176
35.6895, 139.6917
37.7749, -122.4194
-22.9068, -43.1729
